 Entry id   TP   TN   FP   FN
         290         133          83          34          40
         291         134          83          34          40
         292         135          83          34          40
         293         135          83          34          41
         294         136          83          34          41
         295         136          83          35          41
         296         136          83          36          41
         297         137          83          36          41
         298         137          83          36          42
         299         137          83          37          42
         300         137          83          38          42
         301         138          83          38          42
         302         138          83          39          42
         303         139          83          39          42
         304         139          84          39          42
         305         139          85          39          42
         306         139          85          40          42
         307         139          85          40          43
         308         139          85          41          43
         309         140          85          41          43
         310         141          85          41          43
         311         141          85          41          44
         312         141          85          42          44
         313         141          85          43          44
         314         141          86          43          44
         315         141          86          44          44
         316         142          86          44          44
         317         142          86          45          44
         318         142          87          45          44
         319         142          88          45          44
         320         142          89          45          44
         321         142          90          45          44
         322         142          91          45          44
         323         142          91          46          44
         324         142          92          46          44
         325         142          92          46          45
         326         142          93          46          45
         327         142          93          46          46
         328         142          93          46          47
         329         142          93          46          48
         330         142          94          46          48
         331         142          95          46          48
         332         142          96          46          48
         333         142          96          46          49
         334         142          96          46          50
         335         142          97          46          50
         336         142          98          46          50
         337         142          98          46          51
         338         142          98          46          52
         339         142          99          46          52
         340         142         100          46          52
         341         142         100          46          53
         342         142         100          47          53
         343         142         101          47          53
         344         142         102          47          53
         345         142         102          47          54
         346         142         103          47          54
         347         142         104          47          54
         348         142         105          47          54
         349         142         105          47          55
         350         142         105          47          56
         351         142         106          47          56
         352         142         106          47          57
         353         143         106          47          57
         354         144         106          47          57
         355         145         106          47          57
         356         146         106          47          57
         357         147         106          47          57
         358         148         106          47          57
         359         149         106          47          57
         360         150         106          47          57
         361         151         106          47          57
         362         152         106          47          57
         363         153         106          47          57
         364         154         106          47          57
         365         155         106          47          57
         366         156         106          47          57
         367         157         106          47          57
         368         158         106          47          57
         369         159         106          47          57
         370         160         106          47          57
         371         161         106          47          57
         372         162         106          47          57
         373         163         106          47          57
         374         163         106          48          57
         375         164         106          48          57
         376         164         107          48          57
         377         164         108          48          57
         378         165         108          48          57
         379         166         108          48          57
         380         167         108          48          57
         381         168         108          48          57
         382         169         108          48          57
         383         170         108          48          57
         384         171         108          48          57
         385         172         108          48          57
         386         172         108          48          58
         387         173         108          48          58
         388         174         108          48          58
         389         175         108          48          58
         390         176         108          48          58
         391         177         108          48          58
         392         178         108          48          58
         393         179         108          48          58
         394         180         108          48          58
         395         180         108          49          58
         396         180         108          50          58
         397         180         108          51          58
         398         180         108          52          58
         399         181         108          52          58
         400         181         108          53          58
         401         182         108          53          58
         402         183         108          53          58
         403         183         109          53          58
         404         183         109          54          58
         405         183         110          54          58
         406         183         111          54          58
         407         183         112          54          58
         408         183         113          54          58
         409         183         114          54          58
         410         183         115          54          58
         411         183         115          54          59
         412         183         115          54          60
         413         184         115          54          60
         414         185         115          54          60
         415         185         116          54          60
         416         185         117          54          60
         417         185         118          54          60
         418         185         118          55          60
         419         185         118          55          61
         420         185         118          55          62
         421         185         119          55          62
         422         185         119          55          63
         423         185         120          55          63
         424         185         121          55          63
         425         185         122          55          63
         426         185         123          55          63
         427         185         124          55          63
         428         185         125          55          63
         429         185         126          55          63
         430         186         126          55          63
         431         187         126          55          63
         432         188         126          55          63
         433         189         126          55          63
         434         189         126          55          64
         435         189         127          55          64
         436         189         128          55          64
         437         189         128          56          64
         438         189         129          56          64
         439         189         129          56          65
         440         189         130          56          65
         441         189         131          56          65
         442         189         132          56          65
         443         190         132          56          65
         444         191         132          56          65
         445         192         132          56          65
         446         192         133          56          65
         447         193         133          56          65
         448         193         133          56          66
         449         194         133          56          66
         450         195         133          56          66
         451         195         134          56          66
         452         195         135          56          66
         453         196         135          56          66
         454         196         136          56          66
         455         196         136          56          67
         456         196         136          57          67
         457         196         137          57          67
         458         196         138          57          67
         459         197         138          57          67
         460         197         139          57          67
         461         197         140          57          67
         462         197         141          57          67
         463         197         142          57          67
         464         197         143          57          67
         465         197         144          57          67
         466         197         144          58          67
         467         197         145          58          67
         468         197         145          58          68
         469         197         146          58          68
         470         197         146          58          69
         471         198         146          58          69
         472         199         146          58          69
         473         199         147          58          69
         474         199         148          58          69
         475         199         148          58          70
         476         199         149          58          70
         477         199         150          58          70
         478         199         151          58          70
         479         199         152          58          70
         480         200         152          58          70
         481         200         153          58          70
         482         200         154          58          70
         483         200         155          58          70
         484         200         156          58          70
         485         201         156          58          70
         486         201         157          58          70
         487         201         157          59          70
         488         201         157          59          71
         489         201         158          59          71
         490         201         159          59          71
         491         202         159          59          71
         492         203         159          59          71
         493         203         160          59          71
         494         203         160          59          72
         495         204         160          59          72
         496         204         161          59          72
         497         204         161          59          73
         498         204         161          60          73
         499         205         161          60          73
         500         205         161          61          73
         501         205         161          62          73
         502         205         162          62          73
         503         205         163          62          73
         504         205         164          62          73
         505         205         164          63          73
         506         205         164          64          73
         507         206         164          64          73
         508         206         164          65          73
         509         207         164          65          73
         510         208         164          65          73
         511         208         164          66          73
         512         209         164          66          73
         513         210         164          66          73
         514         210         164          67          73
         515         211         164          67          73
         516         212         164          67          73
         517         212         165          67          73
         518         212         166          67          73
         519         212         167          67          73
         520         212         168          67          73
         521         212         169          67          73
         522         212         170          67          73
         523         212         171          67          73
         524         212         171          68          73
         525         212         172          68          73
         526         212         173          68          73
         527         212         174          68          73
         528         212         175          68          73
         529         212         176          68          73
         530         212         177          68          73
         531         212         178          68          73
         532         212         179          68          73
         533         212         179          68          74
         534         212         180          68          74
         535         212         180          69          74
         536         212         181          69          74
         537         212         182          69          74
         538         212         183          69          74
         539         212         183          69          75
         540         212         183          69          76
         541         212         183          70          76
         542         212         183          71          76
